Period,Production_TBPD
01-01-2019,1826.044632
01-02-2019,1752.354529
01-03-2019,1761.72431
01-04-2019,1725.2626
01-05-2019,1594.734955
01-06-2019,1404.4726
01-07-2019,1721.346568
01-08-2019,1668.794632
01-09-2019,1581.2216
01-10-2019,1796.217858
01-11-2019,1993.426267
01-12-2019,2079.876568
01-01-2020,1983.242235
01-02-2020,2107.46099
01-03-2020,2063.38901
01-04-2020,2098.0043
01-05-2020,2042.287074
01-06-2020,1863.177633
01-07-2020,2067.041268
01-08-2020,2027.475139
01-09-2020,1776.5853
01-10-2020,1884.022558
01-11-2020,2036.781633
01-12-2020,2134.810945
01-01-2021,2128.215032
01-02-2021,2109.787071
01-03-2021,2098.794065
01-04-2021,2002.063333
01-05-2021,1852.266645
01-06-2021,1850.684
01-07-2021,2040.966645
01-08-2021,2097.55923
01-09-2021,2041.889348
01-10-2021,2071.384713
01-11-2021,1978.570015
01-12-2021,2097.55923
01-01-2022,1973.44334
01-02-2022,2004.49478
01-03-2022,1954.167534
01-04-2022,1868.136566
01-05-2022,1822.48334
01-06-2022,1546.927232
01-07-2022,1879.499146
01-08-2022,2015.647211
01-09-2022,1843.605566
01-10-2022,1980.747856
01-11-2022,1983.872566
01-12-2022,2007.125276
01-01-2023,2002.324133
01-02-2023,2010.464029
01-03-2023,2067.885695
01-04-2023,2056.263273
01-05-2023,2011.867819
01-06-2023,2023.450647
01-07-2023,2066.302644
01-08-2023,2020.64606
01-09-2023,1860.530628
01-10-2023,1992.589939
01-11-2023,2051.309938
01-12-2023,2128.065674
01-01-2024,2080.052438
01-02-2024,2009.094119
01-03-2024,2098.327448
01-04-2024,2097.501286
01-05-2024,1960.02972
01-06-2024,1976.620942
01-07-2024,2089.062993
01-08-2024,2006.15577
01-09-2024,1741.154538
01-10-2024,2006.622124
01-11-2024,1977.913125
01-12-2024,2032.539621
