;Period;Forecasted_Production_TBPD SARIMA;Forecasted Production_TBPD XGBoost;Forecasted Production_TBPD LSTM
0;2025-01-01;2037.41002954115;2048.521;2053.693042737677
1;2025-02-01;2045.8043219420479;2020.511;2090.5056807759283
2;2025-03-01;2102.020301089838;2086.9304;2125.8906946945776
3;2025-04-01;2089.5651917688624;2068.738;2160.993351459534
4;2025-05-01;2045.1556634335595;1966.1929;2191.42155716222
5;2025-06-01;2053.525211478766;1976.6208;2214.614369561677
6;2025-07-01;2099.6193705712753;2084.6846;2234.5399964299454
7;2025-08-01;2055.997304459325;2005.9509;2250.225710714839
8;2025-09-01;1895.7484104609343;1742.0513;2250.9682911071272
9;2025-10-01;2027.864603415325;2006.6221;2255.335891636401
10;2025-11-01;2085.9624531029685;1977.9125;2254.6364812631437
11;2025-12-01;2162.119454168617;2032.8936;2255.792470652611
